session,video,segment,text,label,annotation
Session1,Ses01F_impro01,Ses01F_impro01_F000,Excuse me.,3,neu
Session1,Ses01F_impro01,Ses01F_impro01_F001,Yeah.,3,neu
Session1,Ses01F_impro01,Ses01F_impro01_F002,Is there a problem?,3,neu
Session1,Ses01F_impro01,Ses01F_impro01_F005,Well what's the problem? Let me change it.,3,neu
Session1,Ses01F_impro01,Ses01F_impro01_F012,That's out of control.,0,ang
Session1,Ses01F_impro01,Ses01F_impro01_M011,I don't understand why this is so complicated for people when they get here. It's just a simple form. I just need an ID.,0,ang
Session1,Ses01F_impro01,Ses01F_impro01_F014,"Clearly. You know, do you have like a supervisor or something?",3,neu
Session1,Ses01F_impro01,Ses01F_impro01_M013,Yeah. Do you want to see my supervisor? Huh? Yeah. Do you want to see my supervisor? Fine. I'll be right back.,0,ang
Session1,Ses01F_impro02,Ses01F_impro02_F000,Did you get the mail? So you saw my letter?,1,sad
Session1,Ses01F_impro02,Ses01F_impro02_F001,Yeah. I know.,1,sad
Session1,Ses01F_impro02,Ses01F_impro02_M001,"I don't understand. You've already done so much, I don't know why do you have to go back.",1,sad
Session1,Ses01F_impro02,Ses01F_impro02_F002,I don't know. I put in that. request too. They didn't...,1,sad
Session1,Ses01F_impro02,Ses01F_impro02_F003,"I guess, you know, everybody has to make sacrifices.",3,neu
Session1,Ses01F_impro02,Ses01F_impro02_F004,"There's people that have given more though, you know?",1,sad
Session1,Ses01F_impro02,Ses01F_impro02_F005,I know.,1,sad
Session1,Ses01F_impro02,Ses01F_impro02_F006,"There's babies over there, though, that need mothers.",3,neu
Session1,Ses01F_impro02,Ses01F_impro02_M005,I don't know how you can be okay with this? I don't know why you're not-- you're fine with it.,1,sad
Session1,Ses01F_impro02,Ses01F_impro02_F008,"Just, you know, kicking myself.",1,sad
Session1,Ses01F_impro02,Ses01F_impro02_F010,things just aren't what they seem.,1,sad
Session1,Ses01F_impro02,Ses01F_impro02_M009,I just don't see why it has to be you.,1,sad
Session1,Ses01F_impro02,Ses01F_impro02_F012,"If not me then, who?",1,sad
Session1,Ses01F_impro02,Ses01F_impro02_M010,What am I going to do? Huh?,1,sad
Session1,Ses01F_impro02,Ses01F_impro02_F013,"You'll videotape everything, yeah?",1,sad
Session1,Ses01F_impro02,Ses01F_impro02_M011,Yeah.,1,sad
Session1,Ses01F_impro02,Ses01F_impro02_F014,"Maybe you can send it to me, like stream it, yeah?",1,sad
Session1,Ses01F_impro02,Ses01F_impro02_M012,Don't you guys have access to computers over there.,3,neu
Session1,Ses01F_impro02,Ses01F_impro02_F015,Last month-- Yeah.,1,sad
Session1,Ses01F_impro02,Ses01F_impro02_M013,I just don't know how I'm going to do it without you.,1,sad
Session1,Ses01F_impro02,Ses01F_impro02_F016,I have to find sitters.,3,neu
Session1,Ses01F_impro02,Ses01F_impro02_M014,I can't raise a baby by myself. How?,1,sad
Session1,Ses01F_impro02,Ses01F_impro02_F017,"We've got friends, that's why we moved here, huh? Because there is a day care down the street.",1,sad
Session1,Ses01F_impro02,Ses01F_impro02_M015,I know.,3,neu
